bust,hips,waist,height,gender,whr,bhr,body_type
8,8,7,24,female,0.875,1.0,Rectangle
8,19,14,63,female,0.7368421052631579,0.42105263157894735,Pear
9,20,17,49,female,0.85,0.45,Pear
9,45,41,60,female,0.9111111111111111,0.2,Pear
10,11,9,46,female,0.8181818181818182,0.9090909090909091,Pear
10,19,20,44,female,1.0526315789473684,0.5263157894736842,Pear
10,16,31,66,female,1.9375,0.625,Pear
10,36,52,47,female,1.4444444444444444,0.2777777777777778,Pear
11,13,10,48,female,0.7692307692307693,0.8461538461538461,Pear
11,19,10,68,female,0.5263157894736842,0.5789473684210527,Pear
11,19,21,49,female,1.105263157894737,0.5789473684210527,Pear
11,44,40,40,female,0.9090909090909091,0.25,Pear
12,14,11,60,female,0.7857142857142857,0.8571428571428571,Pear
12,13,20,69,female,1.5384615384615385,0.9230769230769231,Pear
12,17,49,54,female,2.8823529411764706,0.7058823529411765,Pear
13,17,17,47,female,1.0,0.7647058823529411,Pear
13,16,23,72,female,1.4375,0.8125,Pear
13,11,26,48,female,2.3636363636363638,1.1818181818181819,Inverted Triangle
13,11,26,48,female,2.3636363636363638,1.1818181818181819,Inverted Triangle
15,15,13,57,female,0.8666666666666667,1.0,Rectangle
15,17,14,60,female,0.8235294117647058,0.8823529411764706,Pear
15,17,16,38,female,0.9411764705882353,0.8823529411764706,Pear
15,20,17,57,female,0.85,0.75,Pear
15,40,38,60,female,0.95,0.375,Pear
15,63,48,60,female,0.7619047619047619,0.23809523809523808,Pear
16,15,10,53,female,0.6666666666666666,1.0666666666666667,Hourglass
16,28,12,49,female,0.42857142857142855,0.5714285714285714,Pear
16,30,18,30,female,0.6,0.5333333333333333,Pear
16,20,20,44,female,1.0,0.8,Pear
16,21,20,45,female,0.9523809523809523,0.7619047619047619,Pear
16,30,21,47,female,0.7,0.5333333333333333,Pear
16,30,22,45,female,0.7333333333333333,0.5333333333333333,Pear
16,17,24,51,female,1.411764705882353,0.9411764705882353,Pear
16,22,25,60,female,1.1363636363636365,0.7272727272727273,Pear
16,62,47,62,female,0.7580645161290323,0.25806451612903225,Pear
16,62,47,62,female,0.7580645161290323,0.25806451612903225,Pear
17,18,11,56,female,0.6111111111111112,0.9444444444444444,Hourglass
17,28,13,60,female,0.4642857142857143,0.6071428571428571,Pear
17,45,14,60,female,0.3111111111111111,0.37777777777777777,Pear
17,20,16,57,female,0.8,0.85,Pear
17,19,18,51,female,0.9473684210526315,0.8947368421052632,Pear
17,21,20,59,female,0.9523809523809523,0.8095238095238095,Pear
17,45,41,65,female,0.9111111111111111,0.37777777777777777,Pear
17,63,48,60,female,0.7619047619047619,0.2698412698412698,Pear
18,23,11,48,female,0.4782608695652174,0.782608695652174,Pear
18,30,11,47,female,0.36666666666666664,0.6,Pear
18,20,13,47,female,0.65,0.9,Hourglass
18,17,15,58,female,0.8823529411764706,1.0588235294117647,Inverted Triangle
18,18,16,57,female,0.8888888888888888,1.0,Rectangle
18,18,16,60,female,0.8888888888888888,1.0,Rectangle
18,20,16,45,female,0.8,0.9,Pear
18,17,17,41,female,1.0,1.0588235294117647,Inverted Triangle
18,20,17,38,female,0.85,0.9,Pear
18,17,20,51,female,1.1764705882352942,1.0588235294117647,Inverted Triangle
18,22,29,39,female,1.3181818181818181,0.8181818181818182,Pear
18,14,50,44,female,3.5714285714285716,1.2857142857142858,Inverted Triangle
19,24,11,40,female,0.4583333333333333,0.7916666666666666,Pear
19,19,12,50,female,0.631578947368421,1.0,Hourglass
19,17,18,50,female,1.0588235294117647,1.1176470588235294,Inverted Triangle
19,18,21,43,female,1.1666666666666667,1.0555555555555556,Inverted Triangle
19,20,22,47,female,1.1,0.95,Pear
19,26,22,68,female,0.8461538461538461,0.7307692307692307,Pear
19,27,23,58,female,0.8518518518518519,0.7037037037037037,Pear
19,39,37,59,female,0.9487179487179487,0.48717948717948717,Pear
19,39,37,59,female,0.9487179487179487,0.48717948717948717,Pear
19,59,45,60,female,0.7627118644067796,0.3220338983050847,Pear
20,19,14,53,female,0.7368421052631579,1.0526315789473684,Hourglass
20,17,15,59,female,0.8823529411764706,1.1764705882352942,Inverted Triangle
20,20,18,49,female,0.9,1.0,Rectangle
20,18,20,57,female,1.1111111111111112,1.1111111111111112,Inverted Triangle
20,20,20,50,female,1.0,1.0,Apple
21,30,10,35,female,0.3333333333333333,0.7,Pear
21,18,14,59,female,0.7777777777777778,1.1666666666666667,Inverted Triangle
21,18,16,58,female,0.8888888888888888,1.1666666666666667,Inverted Triangle
21,17,20,43,female,1.1764705882352942,1.2352941176470589,Inverted Triangle
21,23,21,59,female,0.9130434782608695,0.9130434782608695,Pear
23,40,37,59,female,0.925,0.575,Pear
28,26,25,69,female,0.9615384615384616,1.0769230769230769,Inverted Triangle
28,28,26,69,female,0.9285714285714286,1.0,Rectangle
28,28,27,82,female,0.9642857142857143,1.0,Rectangle
29,28,27,87,female,0.9642857142857143,1.0357142857142858,Rectangle
30,29,26,65,female,0.896551724137931,1.0344827586206897,Rectangle
31,35,27,63,female,0.7714285714285715,0.8857142857142857,Pear
31,28,28,68,female,1.0,1.1071428571428572,Inverted Triangle
32,29,27,67,female,0.9310344827586207,1.103448275862069,Inverted Triangle
32,37,27,66,female,0.7297297297297297,0.8648648648648649,Pear
32,31,31,86,female,1.0,1.032258064516129,Apple
32,32,32,89,female,1.0,1.0,Apple
33,36,27,61,female,0.75,0.9166666666666666,Pear
34,35,26,64,female,0.7428571428571429,0.9714285714285714,Rectangle
34,38,30,68,female,0.7894736842105263,0.8947368421052632,Pear
35,40,29,65,female,0.725,0.875,Pear
35,40,29,67,female,0.725,0.875,Pear
37,27,26,74,female,0.9629629629629629,1.3703703703703705,Inverted Triangle
37,42,31,62,female,0.7380952380952381,0.8809523809523809,Pear
41,52,36,63,female,0.6923076923076923,0.7884615384615384,Pear
